company,country,ticker,exchange,isin,sources,notes
Adore Beauty Group Limited,Australia,ABY.AX | ADBGF,Australian Securities Exchange | Other OTC,AU0000109506,FMP,Specialty Retail / Consumer Cyclical
Natura Cosméticos,Brazil,NATU3.SA,B3 Brazil | NTCO3:São Paulo Stock Exchange | NTCO:New York Stock Exchange,BRNATUACNOR6,Hand + Wikidata,"Natura, Avon, The Body Shop (formerly), Aesop (formerly) | Former NTCO3; incorporated into Natura Cosméticos and now trades as NATU3"
Eternal Beauty Holdings Limited,Cayman Islands,6883.HK,Hong Kong Stock Exchange,KYG3206R1092,FMP,Household & Personal Products / Consumer Defensive
"Hangzhou Haoyue Personal Care Co., Ltd",China,605009.SS,Shanghai Stock Exchange,CNE100004306,FMP,Household & Personal Products / Consumer Defensive
Proya Cosmetics,China,603605.SS,Shanghai | Shanghai Stock Exchange,CNE100002TP9,FMP + Hand,"Household & Personal Products / Consumer Defensive | Proya, Off & Relax, Timage"
"Shanghai Chicmax Cosmetic Co., Ltd.",China,2145.HK,Hong Kong Stock Exchange,CNE100005MX1,FMP,Household & Personal Products / Consumer Defensive
Shanghai Jahwa,China,600315.SS,Shanghai,,Hand,"Herborist, Maxam, Liushen, Giving"
"Shanghai Lily&Beauty Cosmetics Co.,Ltd.",China,605136.SS,Shanghai Stock Exchange,CNE1000042F1,FMP,Specialty Retail / Consumer Cyclical
L'Oréal,France,OR.PA,Euronext Paris | LRLCF:OTC Markets Group | OR:Euronext Paris,FR0000120321,Hand + Wikidata,"Lancôme, Kiehl's, Maybelline, Garnier, La Roche-Posay, CeraVe, YSL Beauty"
LVMH,France,MC.PA,Euronext Paris,,Hand,"Sephora (retail), Dior Beauty, Guerlain, Givenchy Beauty, Fenty Beauty"
Beiersdorf,Germany,BEI.DE,BDRFF:OTC Markets Group | BEI:Frankfurt Stock Exchange | Xetra Frankfurt,DE0005200000,Hand + Wikidata,"Nivea, Eucerin, La Prairie, Aquaphor"
Henkel,Germany,HEN3.DE,Xetra Frankfurt,,Hand,"Schwarzkopf, Syoss, Dial, Gliss"
